mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__max_iter,param_classifier__penalty,param_classifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.181518030166626,0.13469873884826694,0.003355526924133301,0.001006176495604546,"LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga')",0.001,100000,l2,sag,"{'classifier': LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga'), 'classifier__C': 0.001, 'classifier__max_iter': 100000, 'classifier__penalty': 'l2', 'classifier__solver': 'sag'}",0.7206292313819196,0.7172441258462764,0.7168458781362007,0.706831308504282,0.7187811192989444,0.7114120693089027,0.7247560246962756,0.7090221071499702,0.726548496315475,0.72814180442143,0.7180212165059677,0.006926339314884318,72
1.3871347427368164,0.13737631691956617,0.002688097953796387,0.000809203574144056,"LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga')",0.001,100000,l2,saga,"{'classifier': LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga'), 'classifier__C': 0.001, 'classifier__max_iter': 100000, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.7206292313819196,0.7172441258462764,0.7168458781362007,0.706831308504282,0.7187811192989444,0.7114120693089027,0.7247560246962756,0.7090221071499702,0.726548496315475,0.72814180442143,0.7180212165059677,0.006926339314884318,72
0.04742114543914795,0.007459902149205912,0.0,0.0,"LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga')",0.01,100000,l1,lbfgs,"{'classifier': LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga'), 'classifier__C': 0.01, 'classifier__max_iter': 100000, 'classifier__penalty': 'l1', 'classifier__solver': 'lbfgs'}",,,,,,,,,,,,,121
0.9238534212112427,0.19385314343244442,0.002700614929199219,0.0006402750167043655,"LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga')",0.01,100000,l1,liblinear,"{'classifier': LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga'), 'classifier__C': 0.01, 'classifier__max_iter': 100000, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.7363600159299084,0.727200318598168,0.7291915571485464,0.7323242381995618,0.7359091814379606,0.7235610436168094,0.7402907787293368,0.7205735909181438,0.7396932881896037,0.741485759808803,0.7326589772576843,0.006932968303564283,69
0.03514895439147949,0.006766037925216511,0.0,0.0,"LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga')",0.01,100000,l1,newton-cg,"{'classifier': LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga'), 'classifier__C': 0.01, 'classifier__max_iter': 100000, 'classifier__penalty': 'l1', 'classifier__solver': 'newton-cg'}",,,,,,,,,,,,,124
0.03821866512298584,0.007631509456492054,0.0,0.0,"LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga')",0.01,100000,l1,newton-cholesky,"{'classifier': LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga'), 'classifier__C': 0.01, 'classifier__max_iter': 100000, 'classifier__penalty': 'l1', 'classifier__solver': 'newton-cholesky'}",,,,,,,,,,,,,131
0.04327328205108642,0.01265513271145711,0.0,0.0,"LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga')",0.01,100000,l1,sag,"{'classifier': LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga'), 'classifier__C': 0.01, 'classifier__max_iter': 100000, 'classifier__penalty': 'l1', 'classifier__solver': 'sag'}",,,,,,,,,,,,,129
5.2234937906265255,0.22003563984472868,0.00235288143157959,0.000807746861517577,"LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga')",0.01,100000,l1,saga,"{'classifier': LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga'), 'classifier__C': 0.01, 'classifier__max_iter': 100000, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.7363600159299084,0.7268020708880923,0.7291915571485464,0.7323242381995618,0.7359091814379606,0.7233618801035651,0.7404899422425811,0.7205735909181438,0.7396932881896037,0.741485759808803,0.7326191524866766,0.007013517452539765,70
1.151288390159607,0.09263984191267181,0.002623105049133301,0.0006672490432804191,"LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga')",0.01,100000,l2,lbfgs,"{'classifier': LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga'), 'classifier__C': 0.01, 'classifier__max_iter': 100000, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7477100756670649,0.7421346077260056,0.7433293508562325,0.7410874327823143,0.7466640111531567,0.7365066719776937,0.7514439354710217,0.7323242381995618,0.7566221868153754,0.7556263692491536,0.7453448879897581,0.007467024185872692,3
0.6071293354034424,0.029955693174813967,0.0033040761947631834,0.0011222391037836866,"LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga')",0.01,100000,l2,liblinear,"{'classifier': LogisticRegression(C=0.01, max_iter=100000, random_state=42, solver='saga'), 'classifier__C': 0.01, 'classifier__max_iter': 100000, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.748705694942254,0.7423337315810434,0.7427319792911191,0.7408882692690699,0.7470623381796455,0.7369049990041824,0.7510456084445329,0.7323242381995618,0.755825532762398,0.755825532762398,0.7453647924436204,0.007368524901989566,2
